req_id,source,function,requirement,bundle,competency_statement,Single-Agent Orchestration Pattern,Multi-Agent Orchestration Pattern,Tool-Use Boundaries & Least-Privilege Access,Human-in-the-Loop Approval Gates,Nondeterminism Controls & Output Validation,RAG Architecture & Data Grounding,GenAIOps / MLOps Lifecycle Governance,Evaluation & Monitoring Infrastructure,Prompt Management & Secret Handling,Scalable Modular Architecture (Archetypes),AI Risk Policy & Accountability Structures,Threat Modeling & Red-Teaming,Incident Response & Recovery Playbooks,Audit Logging & Telemetry,Regulatory Compliance Documentation,Supply Chain & Vendor Risk Controls,Data Governance & Access Controls,Human Override & Control Mechanisms
NIST-MS-1,NIST AI RMF 1.0,MEASURE,AI risk measurement approaches are identified and applied.,Integration Readiness,"Organizations must implement systematic approaches and technical infrastructure to identify, apply, and operationalize AI risk measurement methodologies, ensuring ongoing evaluation and adaptation of risk metrics.",,,,,,,X,X,,,,,,,,,,
NIST-MS-2,NIST AI RMF 1.0,MEASURE,AI system evaluated for trustworthy characteristics.,Integration Readiness,"Organizations must deploy technical controls and monitoring systems to evaluate AI systems for trustworthy characteristics such as reliability, fairness, and robustness, ensuring outputs are validated against defined trust criteria.",,,,,X,,,X,,,,,,,,,,
NIST-MS-3,NIST AI RMF 1.0,MEASURE,AI system performance or assurance criteria are measured.,Integration Readiness,"Organizations must establish and maintain technical infrastructure to measure and monitor AI system performance and assurance criteria, enabling continuous assessment against organizational benchmarks.",,,,,,,,X,,,,,,,,,,
NIST-MS-4,NIST AI RMF 1.0,MEASURE,Feedback about efficacy of measurement incorporated into organizational processes.,Integration Readiness,Organizations must integrate feedback mechanisms and monitoring infrastructure to ensure that insights from measurement activities are systematically incorporated into process improvements and lifecycle management.,,,,,,,X,X,,,,,,,,,,
NIST-MG-1,NIST AI RMF 1.0,MANAGE,"A plan for managing AI risks is developed, monitored, and in place.",Trust Readiness,"Organizations must develop, document, and monitor comprehensive AI risk management plans, supported by lifecycle governance and clear accountability structures to ensure ongoing oversight and adaptation.",,,,,,,X,,,,X,,,,,,,
NIST-MG-2,NIST AI RMF 1.0,MANAGE,"Strategies to maximize AI benefits and minimize negative impacts are planned, implemented, and documented.",Trust Readiness,"Organizations must plan, implement, and document strategies that maximize AI benefits and minimize negative impacts, ensuring alignment with risk policies and regulatory requirements.",,,,,,,,,,,X,,,,X,,,
NIST-MG-3,NIST AI RMF 1.0,MANAGE,AI risks and benefits from third-party entities are managed.,Trust Readiness,"Organizations must implement controls to assess and manage AI risks and benefits arising from third-party entities, ensuring that supply chain and vendor dependencies are systematically evaluated and governed.",,,,,,,,,,,,,,,,X,,
NIST-MG-4,NIST AI RMF 1.0,MANAGE,"Risk treatments including response, recovery, and communication plans are put in place.",Trust Readiness,"Organizations must establish and maintain risk treatment plans, including incident response, recovery, and communication protocols, underpinned by clear risk policies and accountability assignments.",,,,,,,,,,,X,,X,,,,,
NIST-GEN-1,NIST GenAI Profile,GOVERN,"Policies address GenAI-specific risks: hallucination, data provenance, and synthetic content.",Trust Readiness,"Organizations must develop and enforce policies and technical controls that specifically address GenAI risks such as hallucination, data provenance, and synthetic content, leveraging RAG architectures, output validation, and robust data governance.",,,,,X,X,,,,,,,,,,,X,
NIST-GEN-2,NIST GenAI Profile,MAP,"Agentic AI risks including prompt injection, tool misuse, and autonomous action boundaries are identified.",Trust Readiness,"Organizations must demonstrate the capability to systematically identify and mitigate agentic AI risks such as prompt injection, tool misuse, and excessive autonomy by implementing robust access boundaries, validating outputs, and proactively modeling threats.",,,X,,X,,,,,,,X,,,,,,
NIST-GEN-3,NIST GenAI Profile,MEASURE,"GenAI outputs evaluated for accuracy, bias, toxicity, and alignment with intended use.",Integration Readiness,"Organizations must establish technical infrastructure and processes to continuously evaluate generative AI outputs for accuracy, bias, toxicity, and alignment, leveraging both automated validation and data-grounding mechanisms.",,,,,X,X,,X,,,,,,,,,,
NIST-GEN-4,NIST GenAI Profile,MANAGE,Human oversight mechanisms in place for high-stakes agentic decisions.,Trust Readiness,"Organizations must implement structured human oversight mechanisms, including approval gates and override controls, to ensure that high-stakes agentic AI decisions are subject to appropriate human judgment and intervention.",,,,X,,,,,,,,,,,,,,X
EU-1,EU AI Act (2024/1689),GOVERNANCE,High-risk AI systems must implement a risk management system throughout the lifecycle (Art. 9).,Trust Readiness,"Organizations must establish and maintain a comprehensive risk management system for high-risk AI systems, integrating lifecycle governance and clear accountability structures as mandated by regulatory frameworks.",,,,,,,X,,,,X,,,,,,,
EU-2,EU AI Act (2024/1689),GOVERNANCE,High-risk AI systems must use high-quality data with appropriate data governance (Art. 10).,Integration Readiness,"Organizations must implement robust data governance and access controls to ensure that high-risk AI systems are trained and operated on high-quality, well-governed data, including mechanisms for data provenance, privacy, and quality assurance.",,,,,,X,,,,,,,,,,,X,
EU-3,EU AI Act (2024/1689),TRANSPARENCY,High-risk AI systems must maintain technical documentation sufficient to assess compliance (Art. 11).,Trust Readiness,Organizations must maintain comprehensive technical documentation for high-risk AI systems to demonstrate compliance with regulatory requirements and facilitate external assessment.,,,,,,,,,,,,,,,X,,,
EU-4,EU AI Act (2024/1689),TRANSPARENCY,High-risk AI systems must enable logging of events throughout operation (Art. 12).,Integration Readiness,"Organizations must implement audit logging and telemetry throughout the operation of high-risk AI systems to ensure traceability, accountability, and support for incident investigation.",,,,,,,,,,,,,,X,,,,
EU-5,EU AI Act (2024/1689),TRANSPARENCY,High-risk AI systems must be transparent and provide information to deployers (Art. 13).,Trust Readiness,"Organizations must ensure transparency of high-risk AI systems by providing deployers with clear information on system operation, including prompt management practices and ongoing monitoring of system behavior.",,,,,,,,X,X,,,,,,,,,
EU-6,EU AI Act (2024/1689),HUMAN OVERSIGHT,High-risk AI systems must allow effective human oversight including ability to intervene and override (Art. 14).,Trust Readiness,"Organizations must design high-risk AI systems to allow effective human oversight, including the ability for humans to intervene and override automated decisions at critical junctures.",,,,X,,,,,,,,,,,,,,X
EU-7,EU AI Act (2024/1689),ACCURACY & ROBUSTNESS,"High-risk AI systems must achieve appropriate accuracy, robustness, and cybersecurity (Art. 15).",Integration Readiness,"Organizations must ensure that high-risk AI systems achieve appropriate levels of accuracy, robustness, and cybersecurity by implementing output validation, continuous monitoring, and scalable, modular architectures that support resilience.",,,,,X,,,X,,X,,,,,,,,
EU-8,EU AI Act (2024/1689),GOVERNANCE,GPAI model providers must maintain technical documentation and comply with copyright law (Art. 53).,Trust Readiness,"Organizations must demonstrate the ability to maintain comprehensive technical documentation for GPAI models and ensure ongoing compliance with copyright law, supported by robust audit trails and regulatory reporting mechanisms.",,,,,,,,,,,,,,X,X,,,
EU-9,EU AI Act (2024/1689),GOVERNANCE,GPAI models with systemic risk must perform adversarial testing and incident reporting (Art. 55).,Trust Readiness,"Organizations must possess the capability to systematically test GPAI models for adversarial vulnerabilities, monitor for incidents, and execute structured incident response and reporting processes to mitigate systemic risk.",,,,,,,,X,,,,X,X,,,,,
OWASP-1,OWASP Top 10 LLM,SECURITY,LLM01 Prompt Injection: Attackers manipulate LLMs via crafted inputs to cause unintended actions.,Integration Readiness,"Organizations must implement controls to manage and sanitize prompts, validate outputs for unintended actions, and insert human oversight where necessary to prevent and mitigate prompt injection attacks.",,,,X,X,,,,X,,,,,,,,,
OWASP-2,OWASP Top 10 LLM,SECURITY,LLM02 Sensitive Information Disclosure: LLMs may reveal confidential data in responses.,Trust Readiness,"Organizations must establish robust data governance and access controls, enforce prompt management practices, and validate outputs to prevent LLMs from disclosing sensitive information in responses.",,,,,X,,,,X,,,,,,,,X,
OWASP-3,OWASP Top 10 LLM,SECURITY,LLM03 Supply Chain Vulnerabilities: LLM pipelines depend on third-party components with potential vulnerabilities.,Trust Readiness,"Organizations must develop and maintain supply chain risk management practices and lifecycle governance to ensure that third-party components in LLM pipelines are vetted, monitored, and compliant with security standards.",,,,,,,X,,,,,,,,,X,,
OWASP-4,OWASP Top 10 LLM,SECURITY,LLM04 Data and Model Poisoning: Training data or model weights manipulated to introduce vulnerabilities.,Integration Readiness,"Organizations must enforce data governance and access controls, implement lifecycle governance for model training, and continuously monitor for signs of data or model poisoning to safeguard LLM integrity.",,,,,,,X,X,,,,,,,,,X,
OWASP-5,OWASP Top 10 LLM,SECURITY,LLM05 Improper Output Handling: Insufficient validation of LLM outputs before passing to downstream systems.,Integration Readiness,"Organizations must deploy output validation mechanisms and human approval gates to ensure that LLM outputs are properly vetted before being passed to downstream systems, reducing the risk of improper or unsafe actions.",,,,X,X,,,,,,,,,,,,,
OWASP-6,OWASP Top 10 LLM,SECURITY,LLM06 Excessive Agency: LLM agents granted excessive permissions or autonomy beyond what is needed.,Integration Readiness,Organizations must enforce least-privilege access for LLM agents and provide mechanisms for human override to prevent excessive autonomy and mitigate risks associated with over-permissioned agents.,,,X,,,,,,,,,,,,,,,X
OWASP-7,OWASP Top 10 LLM,SECURITY,LLM07 System Prompt Leakage: System prompts containing sensitive instructions are exposed.,Trust Readiness,Organizations must implement prompt management controls and enforce data governance to prevent leakage of sensitive system prompts and instructions within LLM applications.,,,,,,,,,X,,,,,,,,X,
OWASP-8,OWASP Top 10 LLM,SECURITY,LLM08 Vector and Embedding Weaknesses: Vulnerabilities in vector stores and embedding pipelines.,Integration Readiness,Organizations must implement RAG architectures with strong data grounding and enforce data governance and access controls to secure vector stores and embedding pipelines against vulnerabilities.,,,,,,X,,,,,,,,,,,X,
OWASP-9,OWASP Top 10 LLM,SECURITY,LLM09 Misinformation: LLMs produce factually incorrect content presented as authoritative.,Integration Readiness,"Organizations must establish robust mechanisms to mitigate LLM-generated misinformation by grounding outputs in authoritative data sources, validating outputs for factual accuracy, continuously monitoring model behavior, and integrating human oversight at critical decision points. These capabilities ensure that LLM applications do not propagate factually incorrect or misleading content as authoritative information.",,,,X,X,X,,X,,,,,,,,,,
OWASP-10,OWASP Top 10 LLM,SECURITY,LLM10 Unbounded Consumption: LLM applications vulnerable to resource exhaustion and denial-of-service.,Integration Readiness,"To prevent resource exhaustion and denial-of-service vulnerabilities in LLM applications, organizations must implement scalable, modular architectures, establish comprehensive monitoring of resource utilization, and enforce lifecycle governance practices that proactively address operational risks and system bottlenecks.",,,,,,,X,X,,X,,,,,,,,
