competency_id,req_id,bundle,competency_statement,applicable_controls,evidence_summary
COMP-11,NIST-MP-5,Trust Readiness,"Organizations must establish structured practices and assign personnel to proactively identify, assess, and document AI risks throughout the system lifecycle, leveraging threat modeling and lifecycle governance to ensure comprehensive risk awareness and mitigation.",Threat Modeling & Red-Teaming; GenAIOps / MLOps Lifecycle Governance,"[#25] Threat modeling and red-teaming are structured practices for risk identification, aligning with the requirement for practices and personnel supporting AI risk identification.; [#11] Lifecycle governance ensures that risk identification is embedded throughout the AI system's lifecycle, supporting the requirement."
COMP-12,NIST-MS-1,Integration Readiness,"Organizations must implement systematic approaches and technical infrastructure to identify, apply, and operationalize AI risk measurement methodologies, ensuring ongoing evaluation and adaptation of risk metrics.",Evaluation & Monitoring Infrastructure; GenAIOps / MLOps Lifecycle Governance,[#11] Evaluation and monitoring infrastructure directly supports the identification and application of risk measurement approaches.; [#11] Lifecycle governance ensures risk measurement approaches are systematically integrated into AI operations.
COMP-13,NIST-MS-2,Integration Readiness,"Organizations must deploy technical controls and monitoring systems to evaluate AI systems for trustworthy characteristics such as reliability, fairness, and robustness, ensuring outputs are validated against defined trust criteria.",Evaluation & Monitoring Infrastructure; Nondeterminism Controls & Output Validation,[#25] Monitoring infrastructure enables evaluation of trustworthy characteristics and supports accountability.; [#29] Output validation is necessary to ensure trustworthy system behavior and mitigate risks from nondeterministic outputs.
COMP-14,NIST-MS-3,Integration Readiness,"Organizations must establish and maintain technical infrastructure to measure and monitor AI system performance and assurance criteria, enabling continuous assessment against organizational benchmarks.",Evaluation & Monitoring Infrastructure,[#11] Evaluation and monitoring infrastructure is essential for measuring performance and assurance criteria.
COMP-15,NIST-MS-4,Integration Readiness,Organizations must integrate feedback mechanisms and monitoring infrastructure to ensure that insights from measurement activities are systematically incorporated into process improvements and lifecycle management.,Evaluation & Monitoring Infrastructure; GenAIOps / MLOps Lifecycle Governance,[#11] Feedback mechanisms are necessary to incorporate measurement efficacy into organizational processes.; [#11] Lifecycle governance ensures that feedback from measurement is integrated into ongoing process improvements.
COMP-16,NIST-MG-1,Trust Readiness,"Organizations must develop, document, and monitor comprehensive AI risk management plans, supported by lifecycle governance and clear accountability structures to ensure ongoing oversight and adaptation.",GenAIOps / MLOps Lifecycle Governance; AI Risk Policy & Accountability Structures,[#25] Lifecycle governance ensures that risk management plans are developed and monitored throughout the AI lifecycle.; [#25] Risk policy and accountability structures are foundational for developing and monitoring AI risk management plans.
COMP-17,NIST-MG-2,Trust Readiness,"Organizations must plan, implement, and document strategies that maximize AI benefits and minimize negative impacts, ensuring alignment with risk policies and regulatory requirements.",AI Risk Policy & Accountability Structures; Regulatory Compliance Documentation,[#25] Risk policy structures ensure strategies are planned and implemented to maximize benefits and minimize harms.; [#25] Compliance documentation ensures that strategies are documented and aligned with regulatory expectations.
COMP-18,NIST-MG-3,Trust Readiness,"Organizations must implement controls to assess and manage AI risks and benefits arising from third-party entities, ensuring that supply chain and vendor dependencies are systematically evaluated and governed.",Supply Chain & Vendor Risk Controls,[#25] Supply chain and vendor risk controls directly address the management of third-party AI risks and benefits.
COMP-19,NIST-MG-4,Trust Readiness,"Organizations must establish and maintain risk treatment plans, including incident response, recovery, and communication protocols, underpinned by clear risk policies and accountability assignments.",Incident Response & Recovery Playbooks; AI Risk Policy & Accountability Structures,[#25] Incident response and recovery playbooks operationalize risk treatment and recovery planning.; [#25] Risk policy and accountability structures ensure that risk treatment and communication plans are in place and maintained.
COMP-20,NIST-GEN-1,Trust Readiness,"Organizations must develop and enforce policies and technical controls that specifically address GenAI risks such as hallucination, data provenance, and synthetic content, leveraging RAG architectures, output validation, and robust data governance.",RAG Architecture & Data Grounding; Nondeterminism Controls & Output Validation; Data Governance & Access Controls,[#13] RAG architectures and data grounding directly mitigate hallucination and support data provenance.; [#29] Output validation is essential for controlling hallucination and synthetic content risks.; [#12] Data governance and access controls are foundational for managing data provenance and synthetic content risks.
COMP-21,NIST-GEN-2,Trust Readiness,"Organizations must demonstrate the capability to systematically identify and mitigate agentic AI risks such as prompt injection, tool misuse, and excessive autonomy by implementing robust access boundaries, validating outputs, and proactively modeling threats.",Tool-Use Boundaries & Least-Privilege Access; Nondeterminism Controls & Output Validation; Threat Modeling & Red-Teaming,[#29] Enforcing least-privilege access and tool-use boundaries directly addresses the risk of tool misuse and unauthorized actions by agents.; [#29] Output validation mitigates prompt injection and other risks by ensuring outputs are checked for malicious or unintended content.; [#29] Threat modeling and red-teaming are essential for systematically identifying agentic AI risks such as prompt injection and tool misuse.
COMP-22,NIST-GEN-3,Integration Readiness,"Organizations must establish technical infrastructure and processes to continuously evaluate generative AI outputs for accuracy, bias, toxicity, and alignment, leveraging both automated validation and data-grounding mechanisms.",Evaluation & Monitoring Infrastructure; Nondeterminism Controls & Output Validation; RAG Architecture & Data Grounding,"[#11] Continuous monitoring infrastructure is necessary to measure and flag issues of accuracy, bias, and toxicity in outputs.; [#29] Output validation ensures that outputs are checked for alignment with intended use and screened for bias or toxicity.; [#13] RAG architectures help ground outputs in high-quality, relevant data, improving accuracy and reducing hallucinations."
COMP-23,NIST-GEN-4,Trust Readiness,"Organizations must implement structured human oversight mechanisms, including approval gates and override controls, to ensure that high-stakes agentic AI decisions are subject to appropriate human judgment and intervention.",Human-in-the-Loop Approval Gates; Human Override & Control Mechanisms,[#09] Human-in-the-loop approval gates operationalize oversight at key decision points for high-stakes actions.; [#09] Override mechanisms are necessary to allow humans to intervene and halt or redirect agentic actions when needed.
COMP-24,EU-1,Trust Readiness,"Organizations must establish and maintain a comprehensive risk management system for high-risk AI systems, integrating lifecycle governance and clear accountability structures as mandated by regulatory frameworks.",GenAIOps / MLOps Lifecycle Governance; AI Risk Policy & Accountability Structures,[#11] Lifecycle governance ensures risk management is embedded throughout the AI system’s development and operation.; [#25] Clear policy and accountability structures are foundational to a risk management system as required by EU AI Act Art. 9.
COMP-25,EU-2,Integration Readiness,"Organizations must implement robust data governance and access controls to ensure that high-risk AI systems are trained and operated on high-quality, well-governed data, including mechanisms for data provenance, privacy, and quality assurance.",Data Governance & Access Controls; RAG Architecture & Data Grounding,"[#12] Data governance and access controls are essential for ensuring data quality and compliance with Art. 10.; [#13] RAG architectures support data quality and governance by grounding AI outputs in curated, high-quality enterprise data."
COMP-26,EU-3,Trust Readiness,Organizations must maintain comprehensive technical documentation for high-risk AI systems to demonstrate compliance with regulatory requirements and facilitate external assessment.,Regulatory Compliance Documentation,[#26] Regulatory compliance documentation directly fulfills the requirement for technical documentation under Art. 11.
COMP-27,EU-4,Integration Readiness,"Organizations must implement audit logging and telemetry throughout the operation of high-risk AI systems to ensure traceability, accountability, and support for incident investigation.",Audit Logging & Telemetry,[#26] Audit logging and telemetry are required to meet the event logging obligations of Art. 12.
COMP-28,EU-5,Trust Readiness,"Organizations must ensure transparency of high-risk AI systems by providing deployers with clear information on system operation, including prompt management practices and ongoing monitoring of system behavior.",Prompt Management & Secret Handling; Evaluation & Monitoring Infrastructure,[#13] Prompt management supports transparency by documenting and controlling how prompts are handled and disclosed.; [#11] Monitoring infrastructure provides transparency to deployers by surfacing system status and behavior.
COMP-29,EU-6,Trust Readiness,"Organizations must design high-risk AI systems to allow effective human oversight, including the ability for humans to intervene and override automated decisions at critical junctures.",Human Override & Control Mechanisms; Human-in-the-Loop Approval Gates,[#26] Explicitly required by Art. 14; override mechanisms are essential for human control.; [#09] Approval gates operationalize oversight by requiring human intervention before critical decisions are enacted.
COMP-30,EU-7,Integration Readiness,"Organizations must ensure that high-risk AI systems achieve appropriate levels of accuracy, robustness, and cybersecurity by implementing output validation, continuous monitoring, and scalable, modular architectures that support resilience.",Nondeterminism Controls & Output Validation; Evaluation & Monitoring Infrastructure; Scalable Modular Architecture (Archetypes),[#29] Output validation is critical for ensuring accuracy and robustness.; [#11] Continuous monitoring is necessary to detect and respond to issues affecting accuracy and robustness.; [#20] Modular architectures support robustness and cybersecurity by enabling isolation and rapid response to incidents.
COMP-31,EU-8,Trust Readiness,"Organizations must demonstrate the ability to maintain comprehensive technical documentation for GPAI models and ensure ongoing compliance with copyright law, supported by robust audit trails and regulatory reporting mechanisms.",Regulatory Compliance Documentation; Audit Logging & Telemetry,"[#26] The Act explicitly requires technical documentation and record-keeping as part of compliance.; [#25] Audit logging supports traceability and accountability, which underpin technical documentation and compliance."
COMP-32,EU-9,Trust Readiness,"Organizations must possess the capability to systematically test GPAI models for adversarial vulnerabilities, monitor for incidents, and execute structured incident response and reporting processes to mitigate systemic risk.",Threat Modeling & Red-Teaming; Incident Response & Recovery Playbooks; Evaluation & Monitoring Infrastructure,[#26] The requirement for adversarial testing is directly addressed by threat modeling and red-teaming practices.; [#25] Incident response playbooks operationalize the incident reporting and recovery obligations.; [#11] Continuous monitoring is essential for detecting and reporting incidents as required.
COMP-33,OWASP-1,Integration Readiness,"Organizations must implement controls to manage and sanitize prompts, validate outputs for unintended actions, and insert human oversight where necessary to prevent and mitigate prompt injection attacks.",Prompt Management & Secret Handling; Nondeterminism Controls & Output Validation; Human-in-the-Loop Approval Gates,[#29] Prompt management directly addresses the risk of malicious prompt manipulation.; [#29] Output validation is necessary to catch unintended or malicious actions resulting from prompt injection.; [#09] Human approval gates provide a critical checkpoint to intercept prompt injection exploits before execution.
COMP-34,OWASP-2,Trust Readiness,"Organizations must establish robust data governance and access controls, enforce prompt management practices, and validate outputs to prevent LLMs from disclosing sensitive information in responses.",Data Governance & Access Controls; Prompt Management & Secret Handling; Nondeterminism Controls & Output Validation,[#12] Data governance is foundational to preventing sensitive data leakage.; [#29] Prompt management can prevent sensitive context from being exposed in outputs.; [#29] Output validation helps catch and redact sensitive disclosures before release.
COMP-35,OWASP-3,Trust Readiness,"Organizations must develop and maintain supply chain risk management practices and lifecycle governance to ensure that third-party components in LLM pipelines are vetted, monitored, and compliant with security standards.",Supply Chain & Vendor Risk Controls; GenAIOps / MLOps Lifecycle Governance,[#29] Supply chain controls are directly required to mitigate these vulnerabilities.; [#11] Lifecycle governance ensures continuous oversight and risk management of all pipeline components.
COMP-36,OWASP-4,Integration Readiness,"Organizations must enforce data governance and access controls, implement lifecycle governance for model training, and continuously monitor for signs of data or model poisoning to safeguard LLM integrity.",Data Governance & Access Controls; GenAIOps / MLOps Lifecycle Governance; Evaluation & Monitoring Infrastructure,[#12] Data governance is essential to prevent and detect poisoning in training data.; [#11] Lifecycle governance supports secure and controlled model training and deployment.; [#11] Continuous monitoring can detect anomalies indicative of poisoning.
COMP-37,OWASP-5,Integration Readiness,"Organizations must deploy output validation mechanisms and human approval gates to ensure that LLM outputs are properly vetted before being passed to downstream systems, reducing the risk of improper or unsafe actions.",Nondeterminism Controls & Output Validation; Human-in-the-Loop Approval Gates,[#29] Output validation is the primary defense against improper output handling.; [#09] Human approval provides a critical checkpoint for outputs before downstream use.
COMP-38,OWASP-6,Integration Readiness,Organizations must enforce least-privilege access for LLM agents and provide mechanisms for human override to prevent excessive autonomy and mitigate risks associated with over-permissioned agents.,Tool-Use Boundaries & Least-Privilege Access; Human Override & Control Mechanisms,[#29] Least-privilege access directly limits agent autonomy to only what is necessary.; [#09] Human override ensures that agents cannot act beyond organizationally defined boundaries.
COMP-39,OWASP-7,Trust Readiness,Organizations must implement prompt management controls and enforce data governance to prevent leakage of sensitive system prompts and instructions within LLM applications.,Prompt Management & Secret Handling; Data Governance & Access Controls,[#29] Prompt management is necessary to prevent exposure of sensitive instructions.; [#12] Data governance ensures that sensitive prompts are classified and protected.
COMP-40,OWASP-8,Integration Readiness,Organizations must implement RAG architectures with strong data grounding and enforce data governance and access controls to secure vector stores and embedding pipelines against vulnerabilities.,RAG Architecture & Data Grounding; Data Governance & Access Controls,[#13] RAG architectures with proper data grounding and encryption address vector/embedding weaknesses.; [#13] Access controls are essential for securing vector stores and embedding pipelines.
COMP-41,OWASP-9,Integration Readiness,"Organizations must establish robust mechanisms to mitigate LLM-generated misinformation by grounding outputs in authoritative data sources, validating outputs for factual accuracy, continuously monitoring model behavior, and integrating human oversight at critical decision points. These capabilities ensure that LLM applications do not propagate factually incorrect or misleading content as authoritative information.",RAG Architecture & Data Grounding; Nondeterminism Controls & Output Validation; Evaluation & Monitoring Infrastructure; Human-in-the-Loop Approval Gates,"[#13] RAG architectures directly address misinformation by grounding LLM responses in verifiable enterprise data, reducing hallucinations.; [#29] Output validation mechanisms are essential to detect and filter out factually incorrect or misleading LLM outputs.; [#11] Continuous monitoring enables organizations to detect and respond to misinformation risks in LLM outputs.; [#09] Human approval gates provide an additional layer of assurance, allowing critical review and correction of potentially misleading outputs."
COMP-42,OWASP-10,Integration Readiness,"To prevent resource exhaustion and denial-of-service vulnerabilities in LLM applications, organizations must implement scalable, modular architectures, establish comprehensive monitoring of resource utilization, and enforce lifecycle governance practices that proactively address operational risks and system bottlenecks.",Scalable Modular Architecture (Archetypes); Evaluation & Monitoring Infrastructure; GenAIOps / MLOps Lifecycle Governance,"[#20] Modular, scalable architectures are designed to handle variable loads and prevent resource exhaustion scenarios.; [#11] Continuous monitoring of system performance is critical for early detection and mitigation of resource exhaustion or denial-of-service events.; [#11] Lifecycle governance frameworks ensure that operational risks, including resource management and DoS prevention, are systematically addressed throughout the LLM application lifecycle."
