case_study_id,name,incident_date,type,actor,target,summary,tactics_used,techniques_used,technique_count,competency_domains,sub_competency_ids,missing_controls,competency_gaps,llm_gap_description,llm_sub_competencies,failure_mode,trust_integration_split
AML.CS0010,Microsoft Azure Service Disruption,2020-01-01,exercise,Microsoft AI Red Team,Internal Microsoft Azure Service,"The Microsoft AI Red Team performed a red team exercise on an internal Azure service with the intention of disrupting its service. This operation had a combination of traditional ATT&CK enterprise techniques such as finding valid account, and exfiltrating data -- all interleaved with adversarial ML specific steps such as offline and online evasion examples.",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0004; AML.TA0009; AML.TA0010; AML.TA0011,AML.T0000; AML.T0012; AML.T0015; AML.T0025; AML.T0035; AML.T0040; AML.T0042; AML.T0043.000,8,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; TR-1; TR-2; TR-4; TR-6,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0017: AI Model Distribution Methods,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,Lack of robust ML lifecycle controls such as adversarial input detection and AI governance policies led to service disruption in Microsoft Azure AI services during red team exercises.,TR-1; TR-6; IR-2; IR-7,prevention_failure,both
AML.CS0011,Microsoft Edge AI Evasion,2020-02-01,exercise,Azure Red Team,New Microsoft AI Product,The Azure Red Team performed a red team exercise on a new Microsoft product designed for running AI workloads at the edge. This exercise was meant to use an automated system to continuously manipulate a target image to cause the ML model to produce misclassifications. ,AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0011,AML.T0000; AML.T0002; AML.T0015; AML.T0040; AML.T0043.001,5,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-6,AML.M0000: Limit Public Release of Information; AML.M0019: Control Access to AI Models and Data in Production; AML.M0024: AI Telemetry Logging; AML.M0002: Passive AI Output Obfuscation; AML.M0003: Model Hardening; AML.M0004: Restrict Number of AI Model Queries,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Inadequate AI governance and ML lifecycle controls, including insufficient telemetry and access restrictions, allowed evasion of Microsoft Edge AI detection during red team testing.",TR-1; TR-3; TR-6; IR-2,prevention_failure,both
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,2020-01-01,exercise,MITRE AI Red Team,Commercial Face Identification Service,MITRE's AI Red Team demonstrated a physical-domain evasion attack on a commercial face identification service with the intention of inducing a targeted misclassification. This operation had a combination of traditional MITRE ATT&CK techniques such as finding valid accounts and executing code via an API - all interleaved with adversarial ML specific attacks.,AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0008; AML.TA0011,AML.T0000; AML.T0002.000; AML.T0005; AML.T0008.003; AML.T0012; AML.T0013; AML.T0015; AML.T0040; AML.T0041; AML.T0043.000,10,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-6,AML.M0002: Passive AI Output Obfuscation; AML.M0004: Restrict Number of AI Model Queries; AML.M0000: Limit Public Release of Information; AML.M0001: Limit Model Artifact Release; AML.M0019: Control Access to AI Models and Data in Production; AML.M0009: Use Multi-Modal Sensors,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Insufficient AI governance policies and ML lifecycle controls failed to limit model query access and output obfuscation, enabling physical countermeasures to evade face identification systems.",TR-1; TR-6; IR-2; IR-7,prevention_failure,both
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,2021-01-18,exercise,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",ML-based Android Apps,"Deep learning models are increasingly used in mobile applications as critical components. Researchers from Microsoft Research demonstrated that many deep learning models deployed in mobile apps are vulnerable to backdoor attacks via ""neural payload injection."" They conducted an empirical study on real-world mobile deep learning apps collected from Google Play. They identified 54 apps that were vul",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0006; AML.TA0011,AML.T0002.001; AML.T0004; AML.T0010.003; AML.T0015; AML.T0017.000; AML.T0018.001; AML.T0041; AML.T0042; AML.T0043.004; AML.T0044,10,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-3; TR-6,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0006: Use Ensemble Methods; AML.M0008: Validate AI Model; AML.M0013: Code Signing; AML.M0017: AI Model Distribution Methods; AML.M0001: Limit Model Artifact Release,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"The organization lacked robust AI governance policies and technical controls to secure model access and distribution, alongside insufficient ML lifecycle controls to validate and harden deployed models against backdoor attacks.",TR-1; TR-6; IR-8,prevention_failure,both
AML.CS0014,Confusing Antimalware Neural Networks,2021-06-23,exercise,Kaspersky ML Research Team,Kaspersky's Antimalware ML Model,"Cloud storage and computations have become popular platforms for deploying ML malware detectors. In such cases, the features for models are built on users' systems and then sent to cybersecurity company servers. The Kaspersky ML research team explored this gray-box scenario and showed that feature knowledge is enough for an adversarial attack on ML models.  They attacked one of Kaspersky's antimal",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0007,AML.T0001; AML.T0002.000; AML.T0003; AML.T0005; AML.T0015; AML.T0017.000; AML.T0042; AML.T0043.002; AML.T0047,9,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-3,AML.M0000: Limit Public Release of Information; AML.M0001: Limit Model Artifact Release; AML.M0002: Passive AI Output Obfuscation; AML.M0004: Restrict Number of AI Model Queries; AML.M0019: Control Access to AI Models and Data in Production; AML.M0003: Model Hardening,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Insufficient governance policies and technical controls failed to limit model artifact exposure and query restrictions, while integration readiness was lacking in securing ML lifecycle and model controls to prevent confusion attacks on antimalware neural networks.",TR-1; TR-3; IR-2,prevention_failure,both
AML.CS0015,Compromised PyTorch Dependency Chain,2022-12-25,incident,Unknown,PyTorch,"Linux packages for PyTorch's pre-release version, called Pytorch-nightly, were compromised from December 25 to 30, 2022 by a malicious binary uploaded to the Python Package Index (PyPI) code repository.  The malicious binary had the same name as a PyTorch dependency and the PyPI package manager (pip) installed this malicious package instead of the legitimate one.  This supply chain attack, also kn",AML.TA0004; AML.TA0009; AML.TA0010,AML.T0010.001; AML.T0025; AML.T0037,3,Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls,IR-2; TR-4,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"The organization lacked adequate supply chain risk management and code signing policies, combined with weak ML lifecycle controls to secure dependencies and prevent malicious package insertion.",TR-8; TR-1; IR-6,prevention_failure,both
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,2023-01-28,exercise,Ludwig-Ferdinand Stumpp,MathGPT (https://mathgpt.streamlit.app/),"The publicly available Streamlit application [MathGPT](https://mathgpt.streamlit.app/) uses GPT-3, a large language model (LLM), to answer user-generated math questions.  Recent studies and experiments have shown that LLMs such as GPT-3 show poor performance when it comes to performing exact math directly[<sup>\[1\]</sup>][1][<sup>\[2\]</sup>][2]. However, they can produce more accurate answers wh",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0004; AML.TA0005; AML.TA0011; AML.TA0013,AML.T0001; AML.T0029; AML.T0042; AML.T0047; AML.T0048.000; AML.T0051.000; AML.T0053; AML.T0055; AML.T0093,9,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Trust Readiness — Credential & Secret Management; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-1; IR-2; TR-1; TR-2; TR-4; TR-6,AML.M0004: Restrict Number of AI Model Queries; AML.M0015: Adversarial Input Detection; AML.M0019: Control Access to AI Models and Data in Production; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"There was a failure to implement effective adversarial input detection and generative AI guardrails, reflecting gaps in both AI governance policies and ML lifecycle controls to prevent prompt injection attacks.",TR-1; TR-6; IR-3,prevention_failure,both
AML.CS0017,Bypassing ID.me Identity Verification,2020-10-01,incident,One individual,California Employment Development Department,An individual filed at least 180 false unemployment claims in the state of California from October 2020 to December 2021 by bypassing ID.me's automated identity verification system. Dozens of fraudulent claims were approved and the individual received at least $3.4 million in payments.  The individual collected several real identities and obtained fake driver licenses using the stolen personal det,AML.TA0000; AML.TA0004; AML.TA0011,AML.T0015; AML.T0047; AML.T0048.000,3,Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance,IR-2; TR-1; TR-6,AML.M0024: AI Telemetry Logging; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"The identity verification system lacked hardened models and adversarial input detection, indicating gaps in cybersecurity controls and ML lifecycle integration to prevent bypassing of automated verification.",TR-3; TR-6; IR-1,prevention_failure,both
AML.CS0018,Arbitrary Code Execution with Google Colab,2022-07-01,exercise,Tony Piazza,Google Colab,"Google Colab is a Jupyter Notebook service that executes on virtual machines.  Jupyter Notebooks are often used for ML and data science research and experimentation, containing executable snippets of Python code and common Unix command-line functionality.  In addition to data manipulation and visualization, this code execution functionality can allow users to download arbitrary files from the inte",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0009; AML.TA0010; AML.TA0011,AML.T0010.001; AML.T0011; AML.T0012; AML.T0017; AML.T0025; AML.T0035; AML.T0048; AML.T0048.004,8,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-4; TR-6,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0012: Encrypt Sensitive Information; AML.M0017: AI Model Distribution Methods; AML.M0011: Restrict Library Loading,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Insufficient control over AI model access, lack of code signing, and weak ML lifecycle controls allowed arbitrary code execution through vulnerable notebook environments.",TR-1; TR-6; IR-6,prevention_failure,both
AML.CS0019,PoisonGPT,2023-07-01,exercise,Mithril Security Researchers,HuggingFace Users,"Researchers from Mithril Security demonstrated how to poison an open-source pre-trained large language model (LLM) to return a false fact. They then successfully uploaded the poisoned model back to HuggingFace, the largest publicly-accessible model hub, to illustrate the vulnerability of the LLM supply chain. Users could have downloaded the poisoned model, receiving and spreading poisoned data and",AML.TA0001; AML.TA0003; AML.TA0004; AML.TA0011,AML.T0002.001; AML.T0010.003; AML.T0018.000; AML.T0031; AML.T0042; AML.T0048.001; AML.T0058,7,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery,IR-2; IR-6; TR-6,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0006: Use Ensemble Methods; AML.M0008: Validate AI Model; AML.M0013: Code Signing; AML.M0017: AI Model Distribution Methods; AML.M0001: Limit Model Artifact Release,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"The organization failed to enforce strict model validation, code signing, and distribution policies, alongside weak ML lifecycle controls, enabling poisoning of pre-trained LLMs.",TR-1; TR-6; IR-8,prevention_failure,both
AML.CS0020,Indirect Prompt Injection Threats: Bing Chat Data Pirate,2023-01-01,exercise,"Kai Greshake, Saarland University",Microsoft Bing Chat,"Whenever interacting with Microsoft's new Bing Chat LLM Chatbot, a user can allow Bing Chat permission to view and access currently open websites throughout the chat session. Researchers demonstrated the ability for an attacker to plant an injection in a website the user is visiting, which silently turns Bing Chat into a Social Engineer who seeks out and exfiltrates personal information. The user ",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0011,AML.T0017; AML.T0048.003; AML.T0051.001; AML.T0052.000; AML.T0068,5,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-3; TR-6,AML.M0018: User Training; AML.M0034: Deepfake Detection; AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Lack of user training, insufficient telemetry logging, and inadequate input/output validation reflected gaps in governance and ML lifecycle controls, allowing indirect prompt injection threats.",TR-3; TR-7; IR-2,prevention_failure,both
